volunteer_comment,update_contact,inadequate_food,earlier_pickup,system_problem,direction_problem,recipient_problem,donor_problem,positive_comment
"I'm not sure the hospital knows we are volunteers: a different employee helped this week and she acted like I should have a cart of my own and was offended when I explained that the last few weeks they just wheeled the car out to my car, exclaiming ""YOU can wheel it to your car, but bring it back!"" She was dressed in dress clothes, not their usual uniform so I think she was a manager. 

The recipients were wonderful, though! :) They brought extra people to help carry everything and were very happy to get protein this week! ",1,1,1,1,1,0,0,1
"Well, no donation, but it wasn't a total loss. I discovered they have a great cafeteria! (Not that I'm likely to ever have an opportunity to enjoy it, but it's still a nice one).",0,1,1,1,0,0,0,1
closer to 1 is best they request call ahead,0,1,1,1,1,0,0,1
my most delighted recipient yet :-),0,1,1,1,0,0,0,1
⭐️,0,1,1,1,0,0,0,1
Chabasso had production issues and did not have enough bread to fulfill donation,0,1,1,1,1,0,0,1
took milk from Quinnipiac also,0,1,1,1,1,1,0,1
delivered and received,1,1,1,1,1,0,0,1
"(part 2)  20 boxes to Franklin, also good ",0,1,1,1,0,1,0,1
"6 crates bakery
1 crate produce
1 crate deli
3 crates frozen",0,1,1,1,0,0,0,1
Difficult to find parking,0,1,1,1,0,1,0,1
"No donations available, staff at UDF was very friendly on the phone",1,1,1,1,1,0,0,1
"Dock mgr will be checking why donations so light the last few weeks. Normally there have been bakery items but they may not be pulling the markdown items fron the shelves until
Later in the  day.  They rarely have deli items or produce to  donate. ",1,1,1,1,1,0,0,1
"Produce 42.4 store and 42.8 drop off
Nobody knew anything about new instructions to enter back of store and check in. ",1,1,1,1,0,1,0,1
Super friendly staff at both Gomez commissary and lighthouse!,1,1,1,1,1,0,0,1
"Robert Wilson signed, but the app skipped to the next screen. Not sure it went through as usual. ",1,1,1,1,1,0,0,1
"Not much today, some peppers, tomatoes and onions",0,1,1,1,1,0,0,1
Nice donation of two boxes of prepared meals and one box of breads,0,1,1,1,0,0,0,1
Staff is great.,0,1,1,1,1,0,0,1
"Sorry. I forgot to start the rescue on my phone. I started at 10 picked up about 10.:10 and Delivered at 10:40. 
",1,1,1,1,1,0,0,1
They were so wonderfully nice if they’re ever available for donation I’ll be more than happy to do it. I love when people are friendly like them,1,1,1,1,1,0,0,1
not even 1 dozen sandwiches,0,1,1,1,0,0,0,1
"Some of the rescue items don’t fit the categories listed. 
How about adding “Groceries” or some other “Miscellaneous “ option. 😊",0,1,1,1,1,0,0,1
delivered and received,1,1,1,1,1,0,0,1
the staff here is very nice and my clients really appreciate and enjoy the chicken,1,1,1,1,1,0,0,1
"left some salads, sandwiches and baked goods. the balance will go to Varick AME",1,1,1,1,1,0,0,1
amazing i felt very helpful,0,1,1,1,0,0,0,1
"This app is really user friendly. there were no donations available this morning so with a tap, I could report that and move on with my day.",1,1,1,1,0,0,0,1
"It's always fun to pick up a donation from the Madeira Farmers Market.

(And, as usual, it cost me some shekels....I couldn't resist a dozen 'pasture raised' eggs and a 16oz jar of peach/mango jam)!",1,1,1,1,1,0,0,1
see signature for Smart and Final on Atlantic in LB. drop off is the same.,1,1,1,1,1,0,0,1
"I wasn't able to get through to Bebashi at their main line the first few times I called, would be helpful to have extension # for Janice",1,1,1,1,1,1,0,1
"There was a lot more food than I was expecting, which you probably can't predict, but I was initially a little concerned about being about to carry/ fit all of it. ",0,1,1,1,0,1,0,1
👍,0,1,1,1,0,0,0,1
and last but not least (part 3) again all good! have a nice weekend.,0,1,1,1,1,0,0,1
Good,0,1,1,1,0,0,0,1
"Great job 
",1,1,1,1,1,0,0,1
"No one there again. Second time here and both doors locked, dark inside. ?????",1,1,1,1,0,0,0,1
Chabasso had production issues and did not have enough bread to fulfill donation,0,1,1,1,1,0,0,1
11 bags to AIS,0,1,1,1,1,1,0,1
Outstanding !! It was fun !!,0,1,1,1,0,1,0,1
Another great time enjoying a drive and helping out at the same time.,1,1,1,1,1,0,0,1
Great Staff.,0,1,1,1,1,0,0,1
"(step1) 18 to Milliken, good!",0,1,1,1,1,1,0,1
👍,0,1,1,1,0,0,0,1
👍,0,1,1,1,0,0,0,1
👍,0,1,1,1,0,0,0,1
👍,0,1,1,1,0,0,0,1
1 HUGE bag,0,1,1,1,0,0,0,1
delivered and received,1,1,1,1,1,0,0,1
Chabasso had production issues and did not have enough bread to fulfill donation,0,1,1,1,1,0,0,1
Please remove Joe from the  app. He is no longer with Saleems. carla isn't there today. No one else knows anything.  This place hasn't given us anything yet. They don't understand!!!,1,1,1,1,1,0,0,1
only 2 cupcakes available for donation,1,1,1,1,1,0,0,1
I forgot to finish this till now.  I did it at 11:15 or so,0,1,1,1,0,0,0,1
No problems…..,0,1,1,1,0,0,0,1
"Sorry, I didn’t finsh app until I got back home after making delivery…",0,1,1,1,0,0,0,1
7 bags delivered,0,1,1,1,0,0,0,1
Chef Mindy just texted me saying no donation today! No issue!,1,1,1,1,1,0,0,1
"Apparently there is some confusion on their end with different managers giving different instructions, but i called and someone tried to be helpful, and eventually he reported there is no donation, so i didnt go. 🤷🏽‍♀️",1,1,1,1,0,0,0,1
No donuts today!🥲🍩,0,1,1,1,0,0,0,1
Huge haul today!,0,1,1,1,0,0,0,1
"I called at 1 to see if there was a donation. Was on hold for around 5 min. Called back and the person said a manager would call me back, but they never did. I am assuming there was not a donation available. ",1,1,1,1,1,0,0,1
"took more than 3 bags bc the donater said someone had already come for the other stuff

",1,1,1,1,1,0,0,1
Good,0,1,1,1,0,0,0,1
I called bruggers bagels many times with no answer. I got there and someone already did it but did not claim the route,1,1,1,1,1,0,0,1
1 very LARGE bag,0,1,1,1,0,0,0,1
this is the first time since I've been doing this pickup that there was not a donation.,0,1,1,1,1,0,0,1
Wonderful people look forward to seeing them each week,0,1,1,1,1,0,0,1
