volunteer_comment,recipient_problem,inadequate_food,donor_problem,direction_problem,earlier_pickup,system_problem,update_contact,positive_comment
"Produce 42.4 store and 42.8 drop off
Nobody knew anything about new instructions to enter back of store and check in. ",True,False,True,True,False,False,False,False
Super friendly staff at both Gomez commissary and lighthouse!,False,False,False,False,False,False,False,True
"Robert Wilson signed, but the app skipped to the next screen. Not sure it went through as usual. ",False,False,False,False,False,True,False,False
"Not much today, some peppers, tomatoes and onions",False,True,False,False,False,False,False,False
Nice donation of two boxes of prepared meals and one box of breads,False,False,False,False,False,False,False,False
Staff is great.,False,False,False,False,False,False,False,True
"Sorry. I forgot to start the rescue on my phone. I started at 10 picked up about 10.:10 and Delivered at 10:40. 
",False,False,False,False,False,False,False,False
They were so wonderfully nice if they’re ever available for donation I’ll be more than happy to do it. I love when people are friendly like them,False,False,False,False,False,False,False,True
not even 1 dozen sandwiches,False,True,False,False,False,False,False,False
"Some of the rescue items don’t fit the categories listed. 
How about adding “Groceries” or some other “Miscellaneous “ option. 😊",False,False,False,False,False,False,False,False
delivered and received,False,False,False,False,False,False,False,False
the staff here is very nice and my clients really appreciate and enjoy the chicken,False,False,False,False,False,False,False,True
"left some salads, sandwiches and baked goods. the balance will go to Varick AME",False,False,False,False,False,False,False,False
amazing i felt very helpful,False,False,False,False,False,False,False,True
"This app is really user friendly. there were no donations available this morning so with a tap, I could report that and move on with my day.",False,True,False,False,False,False,False,False
"It's always fun to pick up a donation from the Madeira Farmers Market.

(And, as usual, it cost me some shekels....I couldn't resist a dozen 'pasture raised' eggs and a 16oz jar of peach/mango jam)!",False,False,False,False,False,False,False,True
see signature for Smart and Final on Atlantic in LB. drop off is the same.,False,False,False,False,False,False,False,False
"I wasn't able to get through to Bebashi at their main line the first few times I called, would be helpful to have extension # for Janice",True,False,False,False,False,False,False,False
"There was a lot more food than I was expecting, which you probably can't predict, but I was initially a little concerned about being about to carry/ fit all of it. ",False,False,False,False,False,False,False,False
👍,False,False,False,False,False,False,False,True
and last but not least (part 3) again all good! have a nice weekend.,False,False,False,False,False,False,False,False
Good,False,False,False,False,False,False,False,True
"Great job 
",False,False,False,False,False,False,False,True
"No one there again. Second time here and both doors locked, dark inside. ?????",True,False,True,False,False,False,False,False
Chabasso had production issues and did not have enough bread to fulfill donation,False,True,False,False,False,False,False,False
11 bags to AIS,False,False,False,False,False,False,False,False
Outstanding !! It was fun !!,False,False,False,False,False,False,False,True
Another great time enjoying a drive and helping out at the same time.,False,False,False,False,False,False,False,True
Great Staff.,False,False,False,False,False,False,False,True
"(step1) 18 to Milliken, good!",False,False,False,False,False,False,False,True
👍,False,False,False,False,False,False,False,False
👍,False,False,False,False,False,False,False,True
👍,False,False,False,False,False,False,False,True
👍,False,False,False,False,False,False,False,False
1 HUGE bag,False,False,False,False,False,False,False,False
delivered and received,False,False,False,False,False,False,False,False
Chabasso had production issues and did not have enough bread to fulfill donation,False,True,False,False,False,False,False,False
Please remove Joe from the  app. He is no longer with Saleems. carla isn't there today. No one else knows anything.  This place hasn't given us anything yet. They don't understand!!!,False,True,True,False,False,False,True,False
only 2 cupcakes available for donation,False,True,False,False,False,False,False,False
I forgot to finish this till now.  I did it at 11:15 or so,False,False,False,False,False,False,False,False
No problems…..,False,False,False,False,False,False,False,False
"Sorry, I didn’t finsh app until I got back home after making delivery…",False,False,False,False,False,False,False,False
7 bags delivered,False,False,False,False,False,False,False,False
Chef Mindy just texted me saying no donation today! No issue!,False,True,False,False,False,False,False,False
"Apparently there is some confusion on their end with different managers giving different instructions, but i called and someone tried to be helpful, and eventually he reported there is no donation, so i didnt go. 🤷🏽‍♀️",False,True,False,False,False,False,False,False
No donuts today!🥲🍩,False,True,False,False,False,False,False,False
Huge haul today!,False,False,False,False,False,False,False,False
"I called at 1 to see if there was a donation. Was on hold for around 5 min. Called back and the person said a manager would call me back, but they never did. I am assuming there was not a donation available. ",False,True,True,False,False,False,False,False
"took more than 3 bags bc the donater said someone had already come for the other stuff

",False,False,False,False,True,False,False,False
Good,False,False,False,False,False,False,False,False
I called bruggers bagels many times with no answer. I got there and someone already did it but did not claim the route,False,False,False,False,True,False,False,False
1 very LARGE bag,False,False,False,False,False,False,False,False
this is the first time since I've been doing this pickup that there was not a donation.,False,True,False,False,False,False,False,False
Wonderful people look forward to seeing them each week,False,False,False,False,False,False,False,True
