volunteer_comment,id,update_contact,inadequate_food,earlier_pickup,system_problem,direction_problem,recipient_problem,donor_problem,positive_comment
"All went well, but im still adjusting to the app....have been a little late in my inputs, however all pick-ups and deliveries have been on time
- Allen",788071,0,0,0,0,0,0,0,1
No produce ☹️,760749,0,1,0,0,0,0,0,1
Super big order. TJ's Saturday share partner pickup didn't happen. Jim saved the day with his van.,764439,0,0,0,0,0,0,0,0
Great team effort.  Thanks for the greatly needed addition of spare boxes for us to give out food in.,772537,0,0,0,0,0,0,0,1
"cool
",769045,0,0,0,0,0,0,0,0
"The boxes were very heavy, I couldn't carry one of them by myself. if the restaurant could put fewer things in more boxes, I think that would make it easier for transporting :) ",756125,0,0,0,0,0,1,0,1
The initial organization for drop off was not present and the lack of communication was unprofessional. But delivering to wayside was exponentially better than where we were supposed to go.,783464,0,1,0,0,0,1,0,0
"The place that I was supposed to go to, was closed and I drove far away to it and no one was there but I ended up getting to drop the donations off at wayside and seeing the faces of those we helped was amazing ",783463,0,0,0,0,0,0,0,0
"One modest birthday cake sized box of non-nutricious pastries to a fire station in a rich town - I wholly agree that we need to help look after our emergency services people as we’d be lost without them, just don’t think this was in line with the vast majority of other rescues.",767347,0,0,0,0,0,0,0,0
"I'm not sure the hospital knows we are volunteers: a different employee helped this week and she acted like I should have a cart of my own and was offended when I explained that the last few weeks they just wheeled the car out to my car, exclaiming ""YOU can wheel it to your car, but bring it back!"" She was dressed in dress clothes, not their usual uniform so I think she was a manager. 

The recipients were wonderful, though! :) They brought extra people to help carry everything and were very happy to get protein this week! ",770142,0,0,0,0,0,0,0,0
"Well, no donation, but it wasn't a total loss. I discovered they have a great cafeteria! (Not that I'm likely to ever have an opportunity to enjoy it, but it's still a nice one).",770149,0,0,0,0,0,0,0,1
closer to 1 is best they request call ahead,785559,0,0,0,0,0,0,0,1
my most delighted recipient yet :-),770502,0,0,0,0,0,0,0,1
⭐️,770395,0,0,0,0,0,0,0,1
Chabasso had production issues and did not have enough bread to fulfill donation,770401,0,0,0,0,0,0,0,0
took milk from Quinnipiac also,770488,0,0,0,0,0,0,0,0
delivered and received,770341,0,0,0,0,0,0,0,1
"(part 2)  20 boxes to Franklin, also good ",765123,0,1,0,0,0,0,0,0
"6 crates bakery
1 crate produce
1 crate deli
3 crates frozen",771913,0,0,0,0,0,0,0,0
Difficult to find parking,765311,0,0,0,0,0,0,0,1
"No donations available, staff at UDF was very friendly on the phone",768101,0,0,0,0,0,0,0,1
"Dock mgr will be checking why donations so light the last few weeks. Normally there have been bakery items but they may not be pulling the markdown items fron the shelves until
Later in the  day.  They rarely have deli items or produce to  donate. ",769240,0,1,0,0,0,0,0,0
"Produce 42.4 store and 42.8 drop off
Nobody knew anything about new instructions to enter back of store and check in. ",769208,0,0,0,0,0,0,0,1
Super friendly staff at both Gomez commissary and lighthouse!,768852,0,0,0,0,0,0,0,1
"Robert Wilson signed, but the app skipped to the next screen. Not sure it went through as usual. ",743046,0,0,0,0,0,0,0,0
"Not much today, some peppers, tomatoes and onions",773971,0,0,0,0,0,0,0,0
Nice donation of two boxes of prepared meals and one box of breads,786162,0,0,0,0,0,0,0,1
Staff is great.,772429,0,1,0,0,0,0,0,0
"Sorry. I forgot to start the rescue on my phone. I started at 10 picked up about 10.:10 and Delivered at 10:40. 
",761777,0,0,0,0,0,0,0,0
They were so wonderfully nice if they’re ever available for donation I’ll be more than happy to do it. I love when people are friendly like them,775199,0,0,0,0,0,0,0,1
not even 1 dozen sandwiches,767252,0,0,0,0,0,0,0,0
"Some of the rescue items don’t fit the categories listed. 
How about adding “Groceries” or some other “Miscellaneous “ option. 😊",743210,0,0,0,0,0,0,0,1
delivered and received,768566,0,1,0,0,0,0,0,1
the staff here is very nice and my clients really appreciate and enjoy the chicken,756136,0,1,0,0,1,0,1,1
"left some salads, sandwiches and baked goods. the balance will go to Varick AME",770497,0,0,0,0,0,0,0,0
amazing i felt very helpful,787707,0,0,0,0,0,0,0,1
"This app is really user friendly. there were no donations available this morning so with a tap, I could report that and move on with my day.",764424,0,0,0,0,0,0,0,0
"It's always fun to pick up a donation from the Madeira Farmers Market.

(And, as usual, it cost me some shekels....I couldn't resist a dozen 'pasture raised' eggs and a 16oz jar of peach/mango jam)!",771357,0,0,0,0,0,1,0,0
see signature for Smart and Final on Atlantic in LB. drop off is the same.,773114,0,0,0,0,0,1,0,0
"I wasn't able to get through to Bebashi at their main line the first few times I called, would be helpful to have extension # for Janice",756151,0,0,1,0,0,0,0,1
"There was a lot more food than I was expecting, which you probably can't predict, but I was initially a little concerned about being about to carry/ fit all of it. ",767659,0,0,0,0,0,0,0,0
👍,772515,0,0,0,0,0,0,0,0
and last but not least (part 3) again all good! have a nice weekend.,772795,0,0,0,0,0,0,0,0
Good,756082,0,0,0,0,0,0,0,0
"Great job 
",756204,0,1,0,0,0,0,0,0
"No one there again. Second time here and both doors locked, dark inside. ?????",765178,0,0,1,0,0,0,0,0
Chabasso had production issues and did not have enough bread to fulfill donation,770403,1,0,0,0,0,0,0,0
11 bags to AIS,763203,0,0,0,0,0,0,0,0
Outstanding !! It was fun !!,760926,0,1,0,0,0,0,0,0
Another great time enjoying a drive and helping out at the same time.,761556,0,0,0,0,0,0,0,0
Great Staff.,772317,0,1,0,0,0,0,0,0
"(step1) 18 to Milliken, good!",772981,0,0,0,0,0,0,0,1
👍,773454,0,0,0,0,0,0,0,0
👍,773079,0,0,0,0,0,0,0,1
👍,773291,0,0,1,0,0,0,0,0
👍,773499,0,0,0,0,0,0,0,0
1 HUGE bag,767216,0,0,1,0,0,0,1,1
delivered and received,770380,0,0,0,0,0,0,0,0
Chabasso had production issues and did not have enough bread to fulfill donation,770533,0,0,0,0,0,0,0,1
Please remove Joe from the  app. He is no longer with Saleems. carla isn't there today. No one else knows anything.  This place hasn't given us anything yet. They don't understand!!!,775464,0,0,0,0,1,0,0,0
only 2 cupcakes available for donation,708266,0,0,0,0,0,0,0,0
I forgot to finish this till now.  I did it at 11:15 or so,768910,0,0,0,0,0,0,0,0
No problems…..,768874,0,0,0,0,0,0,0,0
"Sorry, I didn’t finsh app until I got back home after making delivery…",768957,0,0,0,0,0,0,0,0
7 bags delivered,769290,0,1,0,0,0,0,0,0
Chef Mindy just texted me saying no donation today! No issue!,768385,0,0,0,0,0,0,0,0
"Apparently there is some confusion on their end with different managers giving different instructions, but i called and someone tried to be helpful, and eventually he reported there is no donation, so i didnt go. 🤷🏽‍♀️",767589,0,0,0,0,0,0,0,1
No donuts today!🥲🍩,772636,0,0,0,0,0,0,0,1
Huge haul today!,773791,0,0,0,0,0,0,0,0
"I called at 1 to see if there was a donation. Was on hold for around 5 min. Called back and the person said a manager would call me back, but they never did. I am assuming there was not a donation available. ",773861,0,0,0,0,0,0,0,0
"took more than 3 bags bc the donater said someone had already come for the other stuff

",773973,0,0,0,0,0,0,0,0
Good,774650,0,0,0,0,0,0,0,1
I called bruggers bagels many times with no answer. I got there and someone already did it but did not claim the route,773872,0,0,0,0,0,1,0,1
1 very LARGE bag,767220,0,0,0,0,0,0,0,0
this is the first time since I've been doing this pickup that there was not a donation.,775404,0,0,0,0,0,0,0,0
Wonderful people look forward to seeing them each week,775407,0,0,0,0,0,0,0,1
