volunteer_comment,recipient_problem,inadequate_food,donor_problem,direction_problem,earlier_pickup,system_problem,update_contact,positive_comment
The four bags were stuffed with prepped sandwiches and more.  They did not seem like “small bags” to me.,False,False,False,False,False,False,False,The donation was substantial and exceeded expectations.
"Successful recue! McDonalds mamager and staff in blue ash was prepared and ready to load donation into my car, even though due to unforeseen circumstances, I was a little tardy for pickup. Charles was awesome- friendly and helpful. Staff at YWCA was ready, prepared to receive and very grateful for donation, too! I apologize for my tardiness today, but was so glad that I could still help out by completing the rescue! ",False,False,False,False,False,False,False,"Successful rescue! McDonald's manager and staff in Blue Ash were prepared and ready to load the donation into my car, even though I was a little tardy for pickup. Charles was awesome - friendly and helpful. Staff at YWCA was ready and very grateful for the donation too! I was glad that I could still help out by completing the rescue!"
People were very nice and helpful.,False,False,False,False,False,False,False,People were very nice and helpful.
"As usual, combined Starbucks and Pizza Hut donations for St Joseph's and Safe Haven.",False,False,False,False,False,False,False,"As usual, combined Starbucks and Pizza Hut donations for St Joseph's and Safe Haven."
Easy delivery; less than 1 lbs of foid but every bit helps.,False,True,False,False,False,False,False,Easy delivery; less than 1 lbs of food but every bit helps.
"Acme is not as well organized, but all fine",False,False,True,False,False,False,False,False
"My first run to Target. Easy to park and pick up. Helpful staff.
As always CAIN is great to work with- grateful, efficient, helpful. ",False,False,False,False,False,False,False,"As always CAIN is great to work with- grateful, efficient, helpful."
really really hard to park / get out of parking at dig. yesterday was much easier earlier on so wish i had gone closer to start of window.,False,False,False,False,True,False,False,False
Good,False,False,False,False,False,False,False,Good
Acme staff very helpful this time!    Coyld only take 8 of 12 boxes,False,True,False,False,False,False,False,Acme staff very helpful this time!
Good,False,False,False,False,False,False,False,Good
Good,False,False,False,False,False,False,False,Good
Good,False,False,False,False,False,False,False,Good
I got what there ways. Someone else picked up!,False,False,False,False,True,False,False,False
"As usual, combined Starbucks and Pizza Hut donations for St Joseph's and Safe Haven.",False,False,False,False,False,False,False,"As usual, combined Starbucks and Pizza Hut donations for St Joseph's and Safe Haven."
Could not get ahold of anyone at the drop off location via text or phone call. All doors were locked. Had to leave the food in the breezeway.,True,False,False,False,False,False,False,False
"really nice staffs here.  excellent 
",False,False,False,False,False,False,False,really nice staffs here. excellent
"All went well, but im still adjusting to the app....have been a little late in my inputs, however all pick-ups and deliveries have been on time
- Allen",False,False,False,False,False,False,False,False
No produce ☹️,False,True,False,False,True,False,False,False
Super big order. TJ's Saturday share partner pickup didn't happen. Jim saved the day with his van.,False,False,True,False,False,False,False,Jim saved the day with his van.
Great team effort.  Thanks for the greatly needed addition of spare boxes for us to give out food in.,False,False,False,False,False,False,False,Great team effort. Thanks for the greatly needed addition of spare boxes for us to give out food in.
"cool
",False,False,False,False,False,False,False,No
"The boxes were very heavy, I couldn't carry one of them by myself. if the restaurant could put fewer things in more boxes, I think that would make it easier for transporting :) ",False,False,False,False,False,False,False,False
The initial organization for drop off was not present and the lack of communication was unprofessional. But delivering to wayside was exponentially better than where we were supposed to go.,True,False,True,True,False,False,False,Delivering to Wayside was exponentially better than where we were supposed to go.
"The place that I was supposed to go to, was closed and I drove far away to it and no one was there but I ended up getting to drop the donations off at wayside and seeing the faces of those we helped was amazing ",True,False,True,False,False,False,False,Seeing the faces of those we helped was amazing.
"One modest birthday cake sized box of non-nutricious pastries to a fire station in a rich town - I wholly agree that we need to help look after our emergency services people as we’d be lost without them, just don’t think this was in line with the vast majority of other rescues.",False,True,False,False,False,False,False,I wholly agree that we need to help look after our emergency services people as we’d be lost without them.
"I'm not sure the hospital knows we are volunteers: a different employee helped this week and she acted like I should have a cart of my own and was offended when I explained that the last few weeks they just wheeled the car out to my car, exclaiming ""YOU can wheel it to your car, but bring it back!"" She was dressed in dress clothes, not their usual uniform so I think she was a manager. 

The recipients were wonderful, though! :) They brought extra people to help carry everything and were very happy to get protein this week! ",False,False,True,False,False,False,True,"The recipients were wonderful, though! :) They brought extra people to help carry everything and were very happy to get protein this week!"
"Well, no donation, but it wasn't a total loss. I discovered they have a great cafeteria! (Not that I'm likely to ever have an opportunity to enjoy it, but it's still a nice one).",False,True,False,False,False,False,False,I discovered they have a great cafeteria!
closer to 1 is best they request call ahead,False,False,True,False,False,False,False,False
my most delighted recipient yet :-),False,False,False,False,False,False,False,my most delighted recipient yet :-)
⭐️,False,True,False,False,True,False,False,The experience was rewarding!
Chabasso had production issues and did not have enough bread to fulfill donation,False,True,False,False,False,False,False,False
took milk from Quinnipiac also,False,False,False,False,True,False,True,"The volunteer had a positive experience, as they were able to collect additional items (milk) while completing the food rescue task."
delivered and received,False,False,False,False,False,False,False,False
"(part 2)  20 boxes to Franklin, also good ",False,False,False,False,False,False,False,"20 boxes to Franklin, also good"
"6 crates bakery
1 crate produce
1 crate deli
3 crates frozen",False,False,False,False,False,False,False,"The food collected was plentiful and diverse, showcasing the generosity of The Kroger Company."
Difficult to find parking,False,False,False,False,False,False,False,
"No donations available, staff at UDF was very friendly on the phone",False,True,False,False,True,False,False,The staff at UDF was very friendly on the phone.
"Dock mgr will be checking why donations so light the last few weeks. Normally there have been bakery items but they may not be pulling the markdown items fron the shelves until
Later in the  day.  They rarely have deli items or produce to  donate. ",False,True,True,False,False,False,False,False
"Produce 42.4 store and 42.8 drop off
Nobody knew anything about new instructions to enter back of store and check in. ",True,False,True,True,False,False,False,
Super friendly staff at both Gomez commissary and lighthouse!,False,False,False,False,False,False,False,Super friendly staff at both Gomez commissary and lighthouse!
"Robert Wilson signed, but the app skipped to the next screen. Not sure it went through as usual. ",False,False,False,False,False,True,False,False
"Not much today, some peppers, tomatoes and onions",False,True,False,False,False,False,False,False
Nice donation of two boxes of prepared meals and one box of breads,False,False,False,False,False,False,False,Nice donation of two boxes of prepared meals and one box of breads
Staff is great.,False,False,False,False,False,False,False,Staff is great.
"Sorry. I forgot to start the rescue on my phone. I started at 10 picked up about 10.:10 and Delivered at 10:40. 
",False,False,False,False,False,False,False,False
They were so wonderfully nice if they’re ever available for donation I’ll be more than happy to do it. I love when people are friendly like them,False,False,False,False,False,False,False,They were so wonderfully nice if they’re ever available for donation I’ll be more than happy to do it. I love when people are friendly like them.
not even 1 dozen sandwiches,False,True,False,False,True,False,False,False
"Some of the rescue items don’t fit the categories listed. 
How about adding “Groceries” or some other “Miscellaneous “ option. 😊",False,False,False,False,False,False,False,False
delivered and received,False,False,False,False,False,False,False,False
the staff here is very nice and my clients really appreciate and enjoy the chicken,False,False,False,False,False,False,False,The staff here is very nice and my clients really appreciate and enjoy the chicken.
"left some salads, sandwiches and baked goods. the balance will go to Varick AME",False,True,False,False,False,False,False,"The food rescue operation went smoothly, and the variety of food donated, including salads, sandwiches, and baked goods, was great."
amazing i felt very helpful,False,False,False,False,False,False,False,amazing i felt very helpful
"This app is really user friendly. there were no donations available this morning so with a tap, I could report that and move on with my day.",False,True,False,False,False,False,False,This app is really user friendly.
"It's always fun to pick up a donation from the Madeira Farmers Market.

(And, as usual, it cost me some shekels....I couldn't resist a dozen 'pasture raised' eggs and a 16oz jar of peach/mango jam)!",False,False,False,False,False,False,False,It's always fun to pick up a donation from the Madeira Farmers Market.
see signature for Smart and Final on Atlantic in LB. drop off is the same.,False,False,False,True,False,False,False,There are no positive comments or praise for the food rescue organization in this feedback.
"I wasn't able to get through to Bebashi at their main line the first few times I called, would be helpful to have extension # for Janice",True,False,False,True,False,False,true,False
"There was a lot more food than I was expecting, which you probably can't predict, but I was initially a little concerned about being about to carry/ fit all of it. ",False,False,False,False,False,False,False,The experience exceeded expectations with a generous amount of food provided by the donor.
👍,False,False,False,False,False,False,False,👍
and last but not least (part 3) again all good! have a nice weekend.,False,False,False,False,False,False,False,and last but not least (part 3) again all good! have a nice weekend.
Good,False,False,False,False,False,False,False,Good
"Great job 
",False,False,False,False,False,False,False,Great job
"No one there again. Second time here and both doors locked, dark inside. ?????",True,True,True,False,False,False,False,False
Chabasso had production issues and did not have enough bread to fulfill donation,False,True,True,False,False,False,False,This situation highlights Chabaso's commitment to transparency regarding their production challenges.
11 bags to AIS,False,False,False,False,False,False,False,False
Outstanding !! It was fun !!,False,False,False,False,False,False,False,Outstanding !! It was fun !!
Another great time enjoying a drive and helping out at the same time.,False,False,False,False,False,False,False,Another great time enjoying a drive and helping out at the same time.
Great Staff.,False,False,False,False,False,False,False,Great Staff.
"(step1) 18 to Milliken, good!",False,False,False,False,False,False,False,The volunteer had a good experience with the rescue.
👍,False,False,False,False,False,False,False,"The volunteer expressed approval with a thumbs-up emoji, indicating a positive experience with the food rescue organization."
👍,False,False,False,False,False,False,False,The volunteer expressed a positive sentiment with a thumbs-up emoji.
👍,False,False,False,False,False,False,False,The volunteer had a positive experience with the rescue.
👍,False,False,False,False,False,False,False,"The volunteer had a positive interaction, indicated by the thumbs up emoji."
1 HUGE bag,False,True,False,False,False,False,False,False
delivered and received,False,False,False,False,False,False,False,False
Chabasso had production issues and did not have enough bread to fulfill donation,False,True,False,False,False,False,False,False
Please remove Joe from the  app. He is no longer with Saleems. carla isn't there today. No one else knows anything.  This place hasn't given us anything yet. They don't understand!!!,True,True,True,False,False,False,"{'old_contact': 'Joe', 'status': ""no longer with Salem's Market & Grill""}",
only 2 cupcakes available for donation,False,True,False,False,True,False,False,False
I forgot to finish this till now.  I did it at 11:15 or so,False,False,False,False,False,False,False,False
No problems…..,False,False,False,False,False,False,False,No problems
"Sorry, I didn’t finsh app until I got back home after making delivery…",False,False,False,False,False,False,False,False
7 bags delivered,False,False,False,False,False,False,False,The rescue was successful with the delivery of 7 bags.
Chef Mindy just texted me saying no donation today! No issue!,False,True,False,False,False,False,False,False
"Apparently there is some confusion on their end with different managers giving different instructions, but i called and someone tried to be helpful, and eventually he reported there is no donation, so i didnt go. 🤷🏽‍♀️",False,True,False,False,False,False,False,
No donuts today!🥲🍩,False,True,False,False,True,False,False,False
Huge haul today!,False,False,False,False,False,False,False,Huge haul today!
"I called at 1 to see if there was a donation. Was on hold for around 5 min. Called back and the person said a manager would call me back, but they never did. I am assuming there was not a donation available. ",False,True,True,False,False,False,False,
"took more than 3 bags bc the donater said someone had already come for the other stuff

",False,False,True,False,True,False,False,"The rescue experience with Whole Foods was positive, as the volunteer was able to collect a significant amount of food."
Good,False,False,False,False,False,False,False,Good
I called bruggers bagels many times with no answer. I got there and someone already did it but did not claim the route,False,False,True,False,True,False,False,False
1 very LARGE bag,False,False,False,False,False,False,False,False
this is the first time since I've been doing this pickup that there was not a donation.,False,True,False,False,False,False,False,False
Wonderful people look forward to seeing them each week,False,False,False,False,False,False,False,Wonderful people look forward to seeing them each week
